um	35	1.700000	43.985700	0.001839	40	dimersa_mu.dat
mu	35	1.700000	31.167200	0.090647	40	dimersa_mu.dat
um	25	1.800000	31.418800	0.001504	40	dimersa_mu.dat
mu	25	1.800000	24.361700	0.029637	40	dimersa_mu.dat
um	30	1.800000	37.702500	0.001805	40	dimersa_mu.dat
mu	30	1.800000	27.903100	0.058040	40	dimersa_mu.dat
um	35	1.800000	43.986300	0.002104	40	dimersa_mu.dat
mu	35	1.800000	31.222700	0.090870	40	dimersa_mu.dat
um	25	1.900000	31.419000	0.001670	40	dimersa_mu.dat
mu	25	1.900000	24.385200	0.030536	40	dimersa_mu.dat
um	30	1.900000	37.702800	0.002005	40	dimersa_mu.dat
mu	30	1.900000	27.946400	0.060432	40	dimersa_mu.dat
um	35	1.900000	43.986600	0.002337	40	dimersa_mu.dat
mu	35	1.900000	31.290500	0.095418	40	dimersa_mu.dat
um	25	2.000000	31.419000	0.001764	40	dimersa_mu.dat
mu	25	2.000000	24.400000	0.028821	40	dimersa_mu.dat
um	30	2.000000	37.702800	0.002116	40	dimersa_mu.dat
mu	30	2.000000	27.975700	0.059106	40	dimersa_mu.dat
um	35	2.000000	43.986600	0.002466	40	dimersa_mu.dat
mu	35	2.000000	31.340100	0.095535	40	dimersa_mu.dat
um	25	0.000000	31.412900	0.001526	40	dimersb_mu.dat
mu	25	0.000000	19.189600	0.086364	40	dimersb_mu.dat
um	30	0.000000	37.695500	0.001833	40	dimersb_mu.dat
mu	30	0.000000	21.309400	0.140508	40	dimersb_mu.dat
um	35	0.000000	43.978000	0.002139	40	dimersb_mu.dat
mu	35	0.000000	23.280400	0.194732	40	dimersb_mu.dat
um	25	0.100000	31.412500	0.001495	40	dimersb_mu.dat
mu	25	0.100000	19.392800	0.073181	40	dimersb_mu.dat
um	30	0.100000	37.695000	0.001794	40	dimersb_mu.dat
mu	30	0.100000	21.593000	0.119626	40	dimersb_mu.dat
um	35	0.100000	43.977500	0.002090	40	dimersb_mu.dat
mu	35	0.100000	23.640500	0.167363	40	dimersb_mu.dat
um	25	0.200000	31.412300	0.001407	40	dimersb_mu.dat
mu	25	0.200000	19.821100	0.062344	40	dimersb_mu.dat
um	30	0.200000	37.694800	0.001688	40	dimersb_mu.dat
mu	30	0.200000	22.152600	0.100811	40	dimersb_mu.dat
um	35	0.200000	43.977200	0.001970	40	dimersb_mu.dat
mu	35	0.200000	24.328300	0.141028	40	dimersb_mu.dat
um	25	0.300000	31.412300	0.001282	40	dimersb_mu.dat
mu	25	0.300000	20.403500	0.057566	40	dimersb_mu.dat
um	30	0.300000	37.694700	0.001538	40	dimersb_mu.dat
mu	30	0.300000	22.884900	0.094391	40	dimersb_mu.dat
um	35	0.300000	43.977200	0.001795	40	dimersb_mu.dat
mu	35	0.300000	25.211300	0.132827	40	dimersb_mu.dat
um	25	0.400000	31.412400	0.001154	40	dimersb_mu.dat
mu	25	0.400000	21.088400	0.054180	40	dimersb_mu.dat
um	30	0.400000	37.694900	0.001385	40	dimersb_mu.dat
mu	30	0.400000	23.721200	0.090931	40	dimersb_mu.dat
um	35	0.400000	43.977400	0.001613	40	dimersb_mu.dat
mu	35	0.400000	26.189200	0.128895	40	dimersb_mu.dat
um	25	0.500000	31.412700	0.001018	40	dimersb_mu.dat
mu	25	0.500000	21.832100	0.049103	40	dimersb_mu.dat
um	30	0.500000	37.695200	0.001223	40	dimersb_mu.dat
